Logitech c505

A 2.40
x=0, y=-298, X'=117, Y'=298, grado=0, distancia=301  distancia-focal:1418.000000 
x=0, y=-299, X'=110, Y'=299, grado=0, distancia=301  distancia-focal:1419.000000 
x=0, y=-299, X'=110, Y'=299, grado=0, distancia=301  distancia-focal:1420.000000 
x=0, y=-300, X'=109, Y'=299, grado=0, distancia=302  distancia-focal:1421.000000 
x=0, y=-300, X'=102, Y'=300, grado=0, distancia=302  distancia-focal:1422.000000 
x=0, y=-300, X'=114, Y'=299, grado=0, distancia=302  distancia-focal:1423.000000 
x=0, y=-300, X'=111, Y'=300, grado=0, distancia=302  distancia-focal:1424.000000 
x=0, y=-300, X'=116, Y'=299, grado=0, distancia=302  distancia-focal:1425.000000 
x=0, y=-300, X'=109, Y'=300, grado=0, distancia=302  distancia-focal:1426.000000 
x=0, y=-301, X'=111, Y'=300, grado=0, distancia=303  distancia-focal:1427.000000 
x=0, y=-301, X'=114, Y'=300, grado=0, distancia=303^C

